llave_cod_cliente;dem_salario
484;975.1497635141213
622;1036.5104601784487
845;879.8636134485403
884;881.5020817476068
961;918.3611352939436
1247;1000.3528542090789
1382;1125.4152052471034
1391;875.253912064471
1410;958.7396107711745
1425;1005.1978046349741
1659;1034.9218897809333
1823;901.9267075990062
2297;899.3466496727766
2373;914.6966095189357
2981;1017.7198514822519
2994;894.0428450113125
3207;956.7952441409548
3329;1018.5849136790077
3749;1006.2923932217722
3779;949.4673806370165
3820;829.1186109536327
3881;969.5721877645985
3940;925.7371790456157
3982;971.9216579436664
4083;983.2403384311357
4150;974.418542349135
4247;830.6266389265033
4360;925.3561242341107
5087;836.9712983404954
5220;940.1261773082663
5390;777.0279496114351
5609;975.6567070120777
5612;1025.3206923583825
5692;821.3193884865532
5714;984.8441767189506
5816;935.1478049329701
5842;892.8992708950007
5975;997.2152031605351
6098;993.1181624766527
6116;942.391518824933
6209;814.6626946404222
6218;956.5179540324821
6244;906.30669541785
6366;951.6757388222334
6534;962.9753304288075
6542;914.1190439196639
6566;905.030669105716
6600;972.4720969136999
6739;933.4831740917726
7095;1008.3307883285997
7207;954.2956466672852
7288;994.734099074987
7353;1051.051975246909
7438;898.7621853388825
7550;936.2499636941889
7801;896.8237588693196
7929;996.1635065307926
8119;810.1173424174535
8232;907.0606567620445
8699;987.1794731751016
8839;937.3690188558653
8974;943.304516527304
9182;1209.1285773454733
9276;934.7752517564518
9393;940.6796022124126
9769;968.3311858911391
9772;852.9579985627511
10019;937.0321057996098
10252;825.4613820640625
10309;892.2909491962444
10386;880.9147884975974
10414;877.4412385442524
10609;1003.0284053072702
10699;998.0670239375112
10748;896.2962501092841
10943;1001.5763175260561
11810;904.131171268164
11878;881.8144999218982
11880;922.9355532856359
12118;917.5502011192282
12282;946.1622510502841
12444;935.9368147682248
12454;957.7760993343293
12483;981.9476235606876
12510;1223.2488101052572
12571;938.9209120426033
12680;784.6760143185948
13115;933.767096243161
13230;931.2051769731247
13783;950.2090598007296
13862;844.1959249973761
14105;973.4699785404573
14117;967.7667498046883
14122;955.7899004659216
14219;901.2176739344545
14458;931.534462561819
14485;963.8596783236508
14653;908.5409703782244
14672;997.7244412737981
14868;779.9512254331584
14995;1017.9163333671311
15030;818.2788931162629
15124;973.1971852433041
15172;903.0007543308257
15353;983.2183248122193
15404;927.410526945186
15662;805.3825784620474
15694;940.0926449266942
15925;963.7543610626474
16061;941.1834787926102
16147;962.0205395784578
16454;895.2364549417855
16594;974.3522658850594
16942;894.4458315493474
16951;975.1154402254873
17163;884.7241834342217
17238;956.1452504816323
17390;951.0945794251916
17675;896.9414921082534
17718;895.0082627228438
18054;990.952220675702
18346;955.0122523067912
18365;933.2945560920613
18490;939.9343848052581
18871;973.9657990778574
19079;1286.2927200481631
19216;891.6032541514389
19251;761.2447002756983
19293;856.211260489594
19483;856.6316477386152
19524;977.4047334930615
19731;873.2503576772556
19789;901.8261176003093
19959;944.0822615056593
20004;906.8095242821867
20173;901.0593265539476
20195;882.462173481244
20212;721.5721089576195
20413;915.2241768525757
20597;980.4707333750273
20731;841.9106844273992
20865;774.6255393355035
21032;808.672728585371
21068;672.1506506063382
21297;755.1663176072282
21456;972.7577214048918
22076;936.8335393958116
22133;967.0283324357458
22201;975.3064705731346
22469;937.4033109306397
22632;891.8396125024415
23025;960.0429101476902
23094;899.7208609098457
23120;795.2416372870292
23526;972.2252653667773
23693;910.2216767747325
23847;900.8270235456188
23890;786.4382681233279
24267;904.3373227197917
24313;938.5992455448759
24484;896.3878106382306
24557;906.5509402321779
24744;808.3892125423326
24817;976.8287516940043
25054;782.7788923272599
25165;915.2139660855512
25194;963.7674760300401
25618;810.4679981051443
26257;797.7670983260743
26475;880.2332353382974
26620;926.5622174570598
26661;995.7120771519214
26821;917.3405093376734
26881;991.0743430464681
26900;934.9685367260462
27259;952.0957084218658
27352;946.1896187509029
27395;1009.3584585611527
27630;864.9881057669243
27811;952.3989737010711
27919;807.0262835462604
27999;982.5080897561561
28446;980.2848252846456
28696;1000.9751722349854
29567;975.715408908328
29751;932.471631196282
29840;978.2808072832702
29898;767.3829000874723
29918;847.5785314594316
29969;933.2979107535764
30100;1048.966267632704
30332;927.8926041134804
30377;951.2756796534538
30451;935.1726253328106
30486;882.5259893775853
30547;884.0771649362612
30602;835.5812391034251
30763;802.0457701264668
30969;866.3621331290474
30986;989.399244929486
31009;833.0443949502203
31175;947.5176670752905
31422;870.8005271233169
31550;949.599969035069
31564;856.8410799920248
31938;999.3205891210237
32110;947.8633106091085
32130;952.7249151180658
32151;929.5924391508926
32498;922.2291897265118
32552;958.0793090185991
32663;888.496095671017
32683;942.018596181791
32692;958.0139116096178
33058;920.0112077188834
33089;796.4704470214747
33267;978.619654144703
33275;874.9597363050776
33571;967.8291492575718
33605;907.5262514960111
33714;859.0296086379487
33842;918.7597800495525
33958;859.0621094570653
34211;937.7073021162826
34501;964.564214907974
34542;896.9859517667543
34545;949.1762425635825
34550;922.708504616453
34570;903.0405095725536
34630;927.0363060136531
34780;872.4297552428998
35235;968.7326909450994
35279;915.2265333641317
35367;918.8722802691382
35420;987.3248862603666
35500;939.648977411309
35740;1026.8748172521607
35769;947.1799569568243
36335;880.74823188644
36408;907.3898017588986
36653;853.5160487853417
36946;931.7082739382824
36995;892.0328895807784
37243;811.5342353881705
37434;867.8115477073869
37600;878.672405772783
37732;934.3720975735584
37843;800.434681614878
38104;765.6721186034725
38148;956.2273010357301
38162;1033.9166102588035
